date,temperature
2021/1/1,-6.5
2021/1/2,-6.3
2021/1/3,-4.2
2021/1/4,-3.2
2021/1/5,-4
2021/1/6,-5.4
2021/1/7,-3.3
2021/1/8,-7.1
2021/1/9,-6.3
2021/1/10,-5.7
2021/1/11,-4.5
2021/1/12,-1.7
2021/1/13,1
2021/1/14,0.4
2021/1/15,-1.3
2021/1/16,2.5
2021/1/17,-2.3
2021/1/18,-3.5
2021/1/19,-5.4
2021/1/20,-3.4
2021/1/21,2.2
2021/1/22,2.2
2021/1/23,-0.8
2021/1/24,-2
2021/1/25,-0.2
2021/1/26,0.8
2021/1/27,2.8
2021/1/28,-0.7
2021/1/29,-0.5
2021/1/30,-3.4
2021/1/31,-4.1
2021/2/1,0.4
2021/2/2,-0.6
2021/2/3,-6.2
2021/2/4,-5.5
2021/2/5,-2.8
2021/2/6,1.9
2021/2/7,-1.3
2021/2/8,-5.5
2021/2/9,-3.8
2021/2/10,0.1
2021/2/11,0.7
2021/2/12,-0.4
2021/2/13,0.2
2021/2/14,3.4
2021/2/15,3.5
2021/2/16,-1
2021/2/17,-3.7
2021/2/18,-1.2
2021/2/19,2
2021/2/20,5.2
2021/2/21,1.5
2021/2/22,1.4
2021/2/23,-1.7
2021/2/24,-4.8
2021/2/25,-2
2021/2/26,-1.3
2021/2/27,-2.5
2021/2/28,-0.2
2021/3/1,4.4
2021/3/2,3.2
2021/3/3,-0.9
2021/3/4,0.7
2021/3/5,8
2021/3/6,0.1
2021/3/7,-0.7
2021/3/8,-2.5
2021/3/9,2.2
2021/3/10,2.3
2021/3/11,3
2021/3/12,5
2021/3/13,2.7
2021/3/14,4.3
2021/3/15,6
2021/3/16,5.6
2021/3/17,3.7
2021/3/18,4.5
2021/3/19,4.7
2021/3/20,4.8
2021/3/21,5.8
2021/3/22,5.4
2021/3/23,6.4
2021/3/24,11
2021/3/25,9
2021/3/26,6.8
2021/3/27,6.3
2021/3/28,9.2
2021/3/29,12.8
2021/3/30,10
2021/3/31,9.5
2021/4/1,8.5
2021/4/2,8.5
2021/4/3,9
2021/4/4,7.5
2021/4/5,5.5
2021/4/6,6.5
2021/4/7,6.5
2021/4/8,7
2021/4/9,7.5
2021/4/10,7.5
2021/4/11,
2021/4/12,
2021/4/13,
2021/4/14,
2021/4/15,
2021/4/16,
2021/4/17,
2021/4/18,
2021/4/19,
2021/4/20,
2021/4/21,
2021/4/22,
2021/4/23,
2021/4/24,
2021/4/25,
2021/4/26,
2021/4/27,
2021/4/28,
2021/4/29,
2021/4/30,
2021/5/1,
2021/5/2,
2021/5/3,
2021/5/4,
2021/5/5,
2021/5/6,
2021/5/7,
2021/5/8,
2021/5/9,
2021/5/10,
2021/5/11,
2021/5/12,
2021/5/13,
2021/5/14,
2021/5/15,
2021/5/16,
2021/5/17,
2021/5/18,
2021/5/19,
2021/5/20,
2021/5/21,
2021/5/22,
2021/5/23,
2021/5/24,
2021/5/25,
2021/5/26,
2021/5/27,
2021/5/28,
2021/5/29,
2021/5/30,
2021/5/31,
